Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,126.25,130.0,126.25,127.25,117.195175,52632.0
2015-01-05,127.25,127.25,126.25,127.25,117.195175,21517.0
2015-01-07,127.25,127.25,123.75,124.0,114.201981,59225.0
2015-01-08,123.75,124.75,123.75,124.5,114.66246799999999,73257.0
2015-01-09,125.25,126.0,124.0,125.0,115.122955,54316.0
2015-01-12,125.0,126.75,123.75,126.25,116.274193,86654.0
2015-01-13,126.0,126.75,125.5,125.5,115.58345,35516.0
2015-01-14,125.75,126.0,124.5,124.5,114.66246799999999,48651.0
2015-01-15,125.5,126.0,124.0,126.0,116.043945,25126.0
2015-01-16,126.5,127.0,123.75,126.25,116.274193,139165.0
2015-01-19,126.25,129.5,126.25,127.5,117.425423,232125.0
2015-01-20,128.0,131.0,127.0,131.0,120.64886499999999,61877.0
2015-01-21,131.0,131.0,128.0,130.0,119.727875,111212.0
2015-01-22,129.5,129.75,126.75,128.25,118.116165,268208.0
2015-01-23,129.0,129.25,126.25,126.25,116.274193,133992.0
2015-01-26,126.0,130.0,123.0,130.0,119.727875,120305.0
2015-01-27,130.0,130.0,127.0,127.25,117.195175,67333.0
2015-01-28,129.5,129.5,124.75,125.0,115.122955,396374.0
2015-01-29,125.5,126.25,123.0,123.25,113.51123799999999,84172.0
2015-01-30,123.25,127.0,122.75,127.0,116.964928,161883.0
2015-02-02,127.0,127.0,124.25,124.5,114.66246799999999,98503.0
2015-02-03,124.5,126.5,124.5,126.0,116.043945,41010.0
2015-02-04,127.0,127.25,125.25,126.25,116.274193,69176.0
2015-02-05,126.75,128.0,125.75,127.0,116.964928,94869.0
2015-02-06,127.5,128.0,125.5,128.0,117.88591799999999,71384.0
2015-02-09,128.0,130.0,126.5,130.0,119.727875,60243.0
2015-02-10,129.75,129.75,122.75,124.5,114.66246799999999,299239.0
2015-02-11,124.0,124.25,118.75,120.0,110.51804399999999,158124.0
2015-02-12,120.0,123.75,118.0,122.5,112.820503,115478.0
2015-02-13,122.5,123.0,121.0,122.0,112.36000800000001,248002.0
2015-02-16,122.0,124.0,121.5,124.0,114.201981,50471.0
2015-02-17,122.5,125.25,121.75,124.0,114.201981,111321.0
2015-02-18,125.0,125.0,123.0,124.75,114.892715,59946.0
2015-02-19,124.75,126.25,123.25,125.25,115.35320300000001,44540.0
2015-02-20,125.25,126.0,123.75,125.0,115.122955,240393.0
2015-02-23,124.75,126.25,123.75,125.5,115.58345,85382.0
2015-02-24,126.0,126.0,123.75,124.25,114.43222,62844.0
2015-02-25,124.25,126.25,124.0,125.75,115.813698,112425.0
2015-02-26,125.75,127.75,125.0,127.0,116.964928,79298.0
2015-02-27,127.0,127.75,126.0,127.0,116.964928,39869.0
2015-03-02,126.25,128.75,125.0,126.0,116.043945,40557.0
2015-03-03,125.0,126.0,121.75,122.0,112.36000800000001,67380.0
2015-03-04,122.0,123.0,119.75,122.5,112.820503,72223.0
2015-03-05,121.5,124.75,121.5,124.5,114.66246799999999,75182.0
2015-03-06,123.5,125.0,122.0,122.5,112.820503,50230.0
2015-03-09,122.5,124.0,120.25,123.0,113.28099099999999,67243.0
2015-03-10,122.5,123.25,119.5,120.5,110.978531,37475.0
2015-03-11,119.0,120.75,118.25,120.0,110.51804399999999,83233.0
2015-03-12,121.0,121.0,118.25,119.5,110.057549,125060.0
2015-03-13,120.0,120.5,118.75,119.25,109.827301,74634.0
2015-03-16,118.75,120.5,118.75,120.25,110.748283,59885.0
2015-03-17,120.5,120.5,117.5,118.0,108.676079,110350.0
2015-03-18,118.75,118.75,116.5,117.0,107.75508899999998,138056.0
2015-03-19,117.5,119.25,117.25,119.25,109.827301,156597.0
