Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,,,,,,
2015-01-05,838.0,840.0,831.5,831.5,820.5499269999999,92028.0
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-26,,,,,,
2015-01-27,,,,,,
2015-01-28,842.0,849.5,836.0,839.5,828.444641,157091.0
2015-01-29,839.5,885.0,830.0,880.0,868.411316,727140.0
2015-01-30,885.0,901.0,876.0,881.0,869.398132,372399.0
2015-02-02,882.0,894.0,877.0,893.0,881.240051,156718.0
2015-02-03,899.0,912.5,899.0,907.5,895.549133,205068.0
2015-02-04,912.5,921.5,903.0,921.5,909.364807,181981.0
2015-02-05,919.0,932.0,916.5,927.0,914.792358,193622.0
2015-02-06,929.5,937.5,922.0,937.5,925.154114,107891.0
2015-02-09,929.5,935.0,920.0,932.0,919.726501,161207.0
2015-02-10,932.0,943.0,926.5,935.0,922.6870119999999,163148.0
2015-02-11,941.0,950.0,938.5,947.0,934.528992,211237.0
2015-02-12,,,,,,
2015-02-13,961.0,962.0,950.0,953.0,940.4499509999999,197821.0
2015-02-16,,,,,,
2015-02-17,,,,,,
2015-02-18,936.0,945.0,935.0,945.0,932.555298,218425.0
2015-02-19,,,,,,
2015-02-20,942.0,946.0,935.0,938.5,926.140869,282949.0
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,941.0,950.5,935.0,948.0,935.515808,132031.0
2015-02-27,948.0,949.5,938.0,941.0,928.6079710000001,118629.0
2015-03-02,,,,,,
2015-03-03,948.0,950.5,934.5,937.0,924.660706,246765.0
2015-03-04,,,,,,
2015-03-05,940.0,953.5,937.5,950.5,937.98291,214830.0
2015-03-06,,,,,,
2015-03-09,945.0,961.0,941.0,961.0,948.3446039999999,337525.0
2015-03-10,,,,,,
2015-03-11,955.5,969.5,954.5,966.5,953.772156,164663.0
2015-03-12,,,,,,
2015-03-13,969.0,975.0,961.0,968.0,955.252441,235766.0
2015-03-16,,,,,,
