Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,,,,,,
2015-01-05,,,,,,
2015-01-07,90.0,90.0,90.0,90.0,89.11842299999999,0.0
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,88.5,89.0,88.0,88.75,87.880669,4706.0
2015-01-13,89.0,89.25,87.5,88.5,87.63311800000001,18314.0
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,88.0,88.0,86.75,87.0,86.14780400000001,7348.0
2015-01-20,86.5,88.25,84.75,88.25,87.38556700000001,4399.0
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,87.0,87.0,85.25,86.25,85.405151,5120.0
2015-01-26,86.25,86.5,85.25,85.5,84.662498,5482.0
2015-01-27,85.0,85.75,85.0,85.0,84.167404,64990.0
2015-01-28,85.25,86.25,85.0,86.25,85.405151,279926.0
2015-01-29,,,,,,
2015-01-30,86.75,88.0,86.75,86.75,85.900253,5454.0
2015-02-02,88.0,88.25,86.25,86.5,85.65271,3708.0
2015-02-03,,,,,,
2015-02-04,86.75,88.0,86.75,87.5,86.642914,924.0
2015-02-05,86.5,88.0,86.0,86.0,85.1576,3645.0
2015-02-06,,,,,,
2015-02-09,86.0,86.5,85.75,85.75,84.910057,7456.0
2015-02-10,87.0,87.0,86.25,87.0,86.14780400000001,4326.0
2015-02-11,,,,,,
2015-02-12,91.5,91.5,89.75,91.0,90.108627,9253.0
2015-02-13,,,,,,
2015-02-16,91.25,93.5,91.25,93.0,92.089035,23705.0
2015-02-17,93.25,93.25,92.5,93.0,92.089035,118999.0
2015-02-18,92.25,93.0,92.0,92.0,91.098831,65591.0
2015-02-19,91.75,91.75,90.25,90.25,89.365967,718.0
2015-02-20,90.0,90.75,89.0,89.0,88.12822,6041.0
2015-02-23,91.0,91.0,89.75,89.75,88.87086500000001,3650.0
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,88.5,88.5,87.75,88.25,87.38556700000001,211622.0
2015-02-27,,,,,,
2015-03-02,,,,,,
2015-03-03,,,,,,
2015-03-04,87.25,87.5,86.25,87.5,86.642914,9118.0
2015-03-05,,,,,,
2015-03-06,88.75,89.75,88.75,89.75,88.87086500000001,6863.0
2015-03-09,89.25,89.25,89.25,89.25,88.375771,362.0
2015-03-10,,,,,,
2015-03-11,88.75,90.75,88.75,90.0,89.11842299999999,21632.0
2015-03-12,,,,,,
2015-03-13,91.5,93.25,91.5,93.25,92.336586,53631.0
2015-03-16,,,,,,
2015-03-17,,,,,,
2015-03-18,,,,,,
2015-03-19,,,,,,
2015-03-20,98.25,105.0,98.25,105.0,103.971497,15630.0
2015-03-23,,,,,,
2015-03-24,105.75,108.25,105.75,107.5,106.447006,40642.0
2015-03-25,105.0,108.5,105.0,108.5,107.437202,1209.0
2015-03-26,,,,,,
2015-03-27,105.0,109.75,105.0,109.5,108.42742199999999,1155.0
2015-03-30,,,,,,
2015-03-31,,,,,,
2015-04-01,,,,,,
2015-04-02,,,,,,
2015-04-07,110.0,110.0,110.0,110.0,108.92251599999999,0.0
2015-04-08,,,,,,
2015-04-09,,,,,,
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-14,,,,,,
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,110.25,110.25,105.0,106.0,104.9617,4992.0
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,105.75,106.0,100.0,106.0,104.9617,12601.0
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-15,97.25,98.5,97.25,97.75,96.792503,914.0
2015-05-18,96.75,97.0,96.25,97.0,96.04985,1441.0
