Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,,,,,,
2015-01-05,115.699997,116.300003,114.300003,114.300003,114.300003,14198.0
2015-01-07,,,,,,
2015-01-08,114.300003,120.800003,114.300003,118.199997,118.199997,244473.0
2015-01-09,,,,,,
2015-01-12,119.0,119.0,117.300003,117.800003,117.800003,24960.0
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,121.900002,121.900002,120.0,120.599998,120.599998,10215.0
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-26,,,,,,
2015-01-27,,,,,,
2015-01-28,121.400002,122.800003,121.300003,122.300003,122.300003,15124.0
2015-01-29,122.699997,123.599998,122.5,123.0,123.0,21410.0
2015-01-30,123.599998,124.800003,122.5,124.800003,124.800003,17229.0
2015-02-02,124.800003,124.900002,122.0,124.5,124.5,246145.0
2015-02-03,124.900002,127.0,124.900002,126.599998,126.599998,16751.0
2015-02-04,126.599998,127.5,125.5,126.300003,126.300003,17609.0
2015-02-05,126.5,128.0,126.5,127.400002,127.400002,15320.0
2015-02-06,127.0,130.0,127.0,128.899994,128.899994,51844.0
2015-02-09,128.699997,128.699997,125.0,127.699997,127.699997,75691.0
2015-02-10,127.699997,129.899994,126.5,128.399994,128.399994,23993.0
2015-02-11,125.0,129.699997,125.0,129.600006,129.600006,8230.0
2015-02-12,129.100006,133.800003,129.100006,133.0,133.0,21594.0
2015-02-13,133.0,134.300003,130.0,132.100006,132.100006,187773.0
2015-02-16,133.5,133.5,132.100006,133.0,133.0,6928.0
2015-02-17,133.0,133.5,130.600006,133.0,133.0,32984.0
2015-02-18,134.0,136.699997,132.5,134.600006,134.600006,35035.0
2015-02-19,134.600006,134.600006,133.100006,134.0,134.0,16850.0
2015-02-20,133.0,136.899994,129.199997,130.5,130.5,47457.0
2015-02-23,130.199997,130.5,126.400002,128.399994,128.399994,220685.0
2015-02-24,128.100006,134.300003,127.699997,133.899994,133.899994,33993.0
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,137.0,137.300003,136.399994,137.0,137.0,136403.0
2015-03-02,,,,,,
2015-03-03,137.0,137.0,133.899994,135.300003,135.300003,26971.0
2015-03-04,,,,,,
2015-03-05,132.0,132.800003,131.399994,132.5,132.5,49802.0
2015-03-06,,,,,,
2015-03-09,,,,,,
2015-03-10,,,,,,
2015-03-11,,,,,,
2015-03-12,,,,,,
2015-03-13,122.800003,124.900002,121.900002,124.599998,124.599998,166877.0
2015-03-16,,,,,,
2015-03-17,126.599998,127.699997,125.5,126.699997,126.699997,55509.0
2015-03-18,126.699997,130.399994,126.199997,129.300003,129.300003,56462.0
2015-03-19,129.300003,132.0,129.300003,131.199997,131.199997,78347.0
2015-03-20,,,,,,
2015-03-23,,,,,,
2015-03-24,,,,,,
2015-03-25,,,,,,
2015-03-26,,,,,,
2015-03-27,,,,,,
2015-03-30,,,,,,
2015-03-31,,,,,,
2015-04-01,131.800003,132.300003,131.100006,131.5,131.5,119571.0
2015-04-02,132.5,133.5,132.5,132.800003,132.800003,12460.0
2015-04-07,134.100006,135.5,133.399994,133.899994,133.899994,36352.0
2015-04-08,,,,,,
2015-04-09,134.0,134.199997,133.5,133.899994,133.899994,44082.0
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-14,,,,,,
2015-04-15,137.300003,138.0,136.600006,136.899994,136.899994,179820.0
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,132.899994,134.100006,132.800003,134.0,134.0,23819.0
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,122.5,122.5,119.699997,121.0,121.0,19963.0
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-15,117.699997,122.400002,117.699997,122.400002,122.400002,178007.0
2015-05-18,122.699997,122.900002,120.599998,121.300003,121.300003,16219.0
2015-05-19,121.900002,123.400002,120.0,123.0,123.0,26699.0
