Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,65.5,73.0,65.0,70.0,68.56755799999999,12626403
2015-12-01,70.25,71.75,68.5,69.0,67.58802800000001,2061522
2015-12-02,69.5,69.75,66.75,67.75,66.363609,1246851
2015-12-03,68.0,68.25,66.25,67.0,65.628952,1010249
2015-12-04,66.5,72.0,66.25,72.0,70.526634,935502
2015-12-07,71.5,71.5,70.0,71.25,69.791985,488015
2015-12-08,71.0,71.5,70.25,71.25,69.791985,514560
2015-12-09,71.25,71.25,70.5,70.75,69.302216,227824
2015-12-10,70.75,72.0,70.25,71.5,70.036865,709158
2015-12-11,71.5,71.5,69.75,70.75,69.302216,807997
2015-12-14,71.5,71.5,69.75,70.75,69.302216,807997
2015-12-15,69.75,70.25,68.5,69.75,68.322678,719783
2015-12-16,69.5,70.25,69.25,69.5,68.077797,255836
2015-12-17,69.75,70.0,68.5,69.25,67.832909,152542
2015-12-18,69.25,69.25,67.25,68.75,67.34314,334959
2015-12-21,69.25,69.25,67.25,68.75,67.34314,334959
2015-12-22,68.25,68.25,67.0,67.5,66.118721,380774
2015-12-23,68.0,69.0,67.5,68.5,67.098251,126725
2015-12-28,68.0,69.0,67.5,68.5,67.098251,253450
2015-12-29,69.0,69.75,68.0,69.0,67.58802800000001,129632
2015-12-30,68.75,71.0,68.5,70.5,69.057327,240898
2016-01-04,68.75,71.0,68.5,70.5,69.057327,240898
