Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,258.0,263.0,253.0,253.0,232.616852,31542
2015-01-05,253.0,258.0,252.0,254.5,233.995987,10940
2015-01-07,254.5,254.5,248.0,248.5,228.47940099999997,33008
2015-01-08,249.5,257.5,249.5,257.5,236.754303,21478
2015-01-09,257.5,261.5,256.5,259.0,238.13343799999998,27189
2015-01-12,260.5,262.5,258.5,261.5,240.43202200000002,14825
2015-01-13,262.0,267.5,262.0,267.5,245.94863900000001,38044
2015-01-14,266.5,269.0,262.5,265.5,244.109756,33129
2015-01-15,265.5,274.0,260.0,270.5,248.70694,36758
2015-01-16,271.5,277.0,266.5,274.5,252.384659,42911
2015-01-19,275.0,275.0,272.0,274.5,252.384659,19851
2015-01-20,274.5,279.5,274.5,278.0,255.602692,40341
2015-01-21,281.0,286.0,276.0,276.0,253.76382400000003,107192
2015-01-22,278.5,278.5,262.0,263.5,242.27090499999997,259681
2015-01-23,264.0,264.5,261.0,261.0,239.972321,68484
2015-01-26,261.0,263.0,255.5,263.0,241.81117200000003,55126
2015-01-27,263.5,267.0,259.5,261.5,240.43202200000002,78160
2015-01-28,261.5,268.0,261.5,268.0,246.408356,46320
2015-01-29,268.5,268.5,265.0,268.0,246.408356,19460
2015-01-30,269.0,273.5,269.0,273.0,251.005524,28636
2015-02-02,273.0,276.0,270.0,276.0,253.76382400000003,30350
2015-02-03,276.0,280.0,274.0,278.5,256.06243900000004,25479
2015-02-04,277.5,283.0,277.0,280.5,257.90130600000003,42311
2015-02-05,280.0,286.0,280.0,285.0,262.038757,44790
2015-02-06,285.0,291.0,283.0,290.0,266.635895,29846
2015-02-09,289.5,289.5,285.0,285.5,262.498444,23500
2015-02-10,287.5,296.0,286.5,294.0,270.31366,40409
2015-02-11,294.5,295.0,290.5,292.0,268.474792,27359
2015-02-12,292.0,296.5,290.5,292.5,268.934479,32939
2015-02-13,292.5,294.5,291.0,293.5,269.85391200000004,19345
2015-02-16,293.0,293.5,290.0,292.0,268.474792,10134
2015-02-17,292.0,296.0,288.0,288.5,265.256775,15350
2015-02-18,288.5,296.5,288.5,295.5,271.69277999999997,122200
2015-02-19,295.5,295.5,293.0,293.0,269.394226,52987
2015-02-20,293.0,296.5,291.5,293.0,269.394226,32345
2015-02-23,293.0,303.5,293.0,299.5,275.370544,43445
2015-02-24,299.0,305.0,296.0,303.0,278.588562,15519
2015-02-25,304.0,306.0,301.0,306.0,281.346863,15178
2015-02-26,306.0,306.0,301.0,301.5,277.209381,20211
2015-02-27,301.0,305.5,295.5,304.5,279.967712,52978
2015-03-02,306.0,310.0,302.0,304.5,279.967712,81422
2015-03-03,305.0,309.5,303.0,306.0,281.346863,41959
2015-03-04,306.0,309.5,299.0,302.0,277.669098,37493
2015-03-05,305.5,313.5,303.5,310.0,285.024597,40011
2015-03-06,311.0,318.5,311.0,314.0,288.70233199999996,42381
2015-03-09,313.5,313.5,306.0,310.5,285.48431400000004,25189
2015-03-10,310.5,314.5,308.5,311.5,286.403748,23324
2015-03-11,313.0,317.0,309.5,316.5,291.000916,20865
2015-03-12,316.5,319.5,314.0,315.5,290.081482,23209
2015-03-13,317.0,319.5,314.5,315.0,289.621765,20153
2015-03-16,315.0,325.5,315.0,322.5,296.517517,34553
2015-03-17,323.0,323.5,315.5,316.0,290.541199,37317
2015-03-18,318.5,323.5,315.5,317.5,291.920319,32784
2015-03-19,313.0,314.5,309.5,310.0,291.450287,83074
2015-03-20,309.5,309.5,295.5,299.0,281.108459,133047
2015-03-23,298.5,299.0,294.5,296.0,278.28799399999997,25730
2015-03-24,295.5,303.0,294.0,300.5,282.518738,44760
2015-03-25,300.0,304.5,300.0,301.0,282.9888,28146
2015-03-26,301.0,301.0,294.0,299.0,281.108459,132815
2015-03-27,299.0,301.0,296.0,298.0,280.168304,24679
2015-03-30,295.0,304.5,294.5,304.5,286.279358,73016
2015-03-31,304.5,307.0,297.5,300.5,282.518738,22901
2015-04-01,301.5,305.0,297.0,304.0,285.809296,31870
2015-04-02,305.5,308.0,304.0,306.5,288.159668,23185
2015-04-07,306.5,325.0,306.5,325.0,305.552704,94477
2015-04-08,325.0,346.5,324.5,346.5,325.76617400000003,91250
2015-04-09,348.5,370.0,348.5,364.0,342.219025,218107
2015-04-10,362.0,382.0,359.0,380.0,357.261627,140587
2015-04-13,379.0,387.5,379.0,384.5,361.49234,141220
2015-04-14,383.5,383.5,374.5,380.0,357.261627,76468
2015-04-15,380.0,380.0,366.0,367.5,345.509583,124646
2015-04-16,367.5,376.5,363.5,376.5,353.971069,197875
2015-04-17,375.0,375.0,360.0,365.0,343.15918,98428
2015-04-20,358.5,370.0,350.0,364.0,342.219025,175293
2015-04-21,363.5,377.5,363.5,377.5,354.91119399999997,98004
2015-04-22,378.0,381.0,366.0,373.0,350.68045,75543
2015-04-23,370.0,375.0,366.0,368.0,345.979675,58695
2015-04-24,368.0,371.0,366.5,370.5,348.33007799999996,31086
2015-04-27,370.5,383.0,368.5,381.0,358.201752,76230
2015-04-28,380.0,389.5,377.5,382.0,359.141937,59418
2015-04-29,383.0,386.5,362.5,365.5,343.629242,67727
2015-04-30,365.5,365.5,355.5,359.0,337.518219,48169
2015-05-04,359.0,365.0,356.5,357.0,335.637878,375842
2015-05-05,357.5,358.5,344.5,346.0,325.296112,84573
2015-05-06,348.0,348.0,336.5,340.5,320.125214,65851
2015-05-07,335.5,352.5,333.5,351.5,330.46701,74092
2015-05-08,352.0,360.0,347.5,359.5,337.98828100000003,32337
2015-05-11,359.5,359.5,353.5,355.5,334.227661,22244
2015-05-12,354.5,354.5,345.0,352.5,331.407135,31522
2015-05-13,352.5,357.5,352.5,355.0,333.757568,11523
2015-05-15,355.0,367.5,353.0,363.0,341.27887000000004,36748
2015-05-18,363.0,373.5,363.0,365.5,343.629242,32724
2015-05-19,366.5,372.0,366.5,370.5,348.33007799999996,15718
2015-05-20,367.0,370.0,367.0,369.0,346.91983,16445
2015-05-21,370.0,374.5,368.5,372.5,350.210419,23420
2015-05-22,372.5,374.5,370.0,370.0,347.859985,15689
2015-05-25,370.5,370.5,366.5,369.0,346.91983,9699
2015-05-26,371.0,372.5,367.0,367.0,345.03952000000004,19421
2015-05-27,366.0,369.0,365.5,366.0,344.099335,21751
2015-05-28,367.5,368.0,365.5,366.5,344.569427,16721
2015-05-29,366.5,369.0,359.0,362.0,340.338684,40488
2015-06-01,362.5,362.5,351.0,352.5,331.407135,45418
2015-06-02,351.5,351.5,342.5,345.0,324.355927,44654
2015-06-03,345.5,352.5,345.0,348.0,327.176422,18015
2015-06-04,348.0,348.0,342.5,343.5,322.945679,42631
2015-06-05,340.0,342.0,328.5,329.5,309.783417,41796
2015-06-08,329.5,329.5,321.0,322.0,302.732208,46958
2015-06-09,319.5,321.5,311.5,316.5,297.56131,104920
2015-06-10,314.0,320.5,310.0,319.0,299.91171299999996,210638
2015-06-11,319.5,340.5,319.5,334.5,314.48425299999997,51219
2015-06-12,334.5,337.0,321.5,325.5,306.022766,84018
2015-06-15,322.5,323.0,315.5,318.0,298.971558,55130
2015-06-16,316.0,326.5,307.0,324.5,305.082611,39166
2015-06-17,328.0,334.5,316.0,317.0,298.03140299999995,45681
2015-06-18,312.0,320.0,307.0,309.5,290.980194,113515
2015-06-22,309.5,325.5,309.5,325.5,306.022766,31167
2015-06-23,329.0,332.0,318.5,324.0,304.612518,37801
2015-06-24,324.0,326.0,315.0,317.0,298.03140299999995,45479
2015-06-25,316.5,316.5,310.0,315.5,296.621155,35571
2015-06-26,315.0,319.0,311.0,317.5,298.50149500000003,37182
2015-06-29,306.0,313.0,300.0,308.5,290.040009,42121
2015-06-30,306.5,307.5,297.5,301.5,283.458893,92345
2015-07-01,303.0,312.5,295.0,305.0,286.74945099999997,77878
2015-07-02,309.0,310.0,300.0,304.0,285.809296,24898
2015-07-03,309.5,314.0,309.0,310.5,291.920319,24048
2015-07-06,305.5,309.0,303.0,306.0,287.689606,32639
2015-07-07,307.0,316.5,307.0,309.0,290.51010099999996,50750
2015-07-08,310.0,311.5,296.5,299.0,281.108459,58380
2015-07-09,300.0,310.5,300.0,309.0,290.51010099999996,47508
2015-07-10,315.0,319.5,313.5,316.0,297.091217,31896
2015-07-13,320.0,339.0,320.0,333.5,313.544067,58933
2015-07-14,342.0,347.0,339.0,342.5,322.00552400000004,66981
2015-07-15,343.5,344.0,335.0,342.5,322.00552400000004,45884
2015-07-16,347.5,358.5,343.5,357.0,335.637878,74751
2015-07-17,360.5,363.5,357.5,359.5,337.98828100000003,53739
2015-07-20,360.0,363.0,355.5,357.0,335.637878,46379
2015-07-21,358.5,358.5,352.5,353.5,332.347321,36974
2015-07-22,355.5,358.5,347.0,351.5,330.46701,22981
2015-07-23,356.0,360.5,352.0,360.0,338.45837400000005,31772
2015-07-24,363.0,363.0,355.5,358.0,336.578033,28018
2015-07-27,358.0,358.0,344.5,347.0,326.236267,24527
2015-07-28,349.0,354.0,345.0,353.5,332.347321,19423
2015-07-29,356.0,358.5,349.0,353.5,332.347321,29569
2015-07-30,353.0,355.0,345.0,352.0,330.937042,35553
2015-07-31,355.5,358.5,349.5,358.0,336.578033,33671
2015-08-03,358.5,372.0,358.5,372.0,349.740326,55215
2015-08-04,372.0,372.0,368.5,370.0,347.859985,21900
2015-08-05,370.0,385.0,370.0,375.5,353.03088399999996,62395
2015-08-06,377.5,377.5,371.5,375.0,352.560791,20745
2015-08-07,376.0,376.0,369.0,370.5,348.33007799999996,11607
2015-08-10,371.0,371.5,364.0,370.5,348.33007799999996,19414
2015-08-11,372.5,372.5,364.5,368.0,345.979675,17951
2015-08-12,360.5,362.0,353.0,353.0,331.877228,26332
2015-08-13,355.0,366.0,355.0,363.5,341.74893199999997,25747
2015-08-14,363.5,367.5,361.5,364.5,342.68908700000003,9145
2015-08-17,368.0,368.0,355.0,360.0,338.45837400000005,20545
2015-08-18,355.5,362.0,355.0,359.5,337.98828100000003,32056
2015-08-19,357.0,358.0,348.0,358.0,336.578033,36788
2015-08-20,355.5,355.5,346.5,348.5,327.646484,29899
2015-08-21,345.0,345.0,337.0,339.5,319.185028,29885
2015-08-24,325.5,327.0,306.5,316.5,297.56131,113474
2015-08-25,317.5,335.5,317.0,329.5,309.783417,36262
2015-08-26,329.0,338.0,321.0,330.0,310.25351,23619
2015-08-27,337.0,342.0,334.0,342.0,321.535461,17691
2015-08-28,343.0,345.0,340.0,343.0,322.475616,19249
2015-08-31,343.0,348.0,337.0,348.0,327.176422,14644
2015-09-01,345.5,345.5,330.5,338.5,318.244904,21668
2015-09-02,337.5,344.0,330.5,332.0,312.13382,15973
2015-09-03,339.0,339.0,333.0,337.5,317.30471800000004,19087
2015-09-04,334.5,335.5,329.5,332.5,312.60391200000004,23323
2015-09-07,335.0,339.0,335.0,337.5,317.30471800000004,8308
2015-09-08,343.0,347.0,338.0,346.5,325.76617400000003,7924
2015-09-09,347.0,358.0,347.0,356.0,334.697693,20366
2015-09-10,353.0,362.5,349.0,361.0,339.398529,36058
2015-09-11,361.0,367.5,354.0,357.5,336.107971,12267
2015-09-14,355.0,355.0,346.0,348.5,327.646484,8358
2015-09-15,348.5,350.0,342.0,350.0,329.056763,10809
2015-09-16,353.5,361.0,352.5,360.5,338.928436,27514
2015-09-17,359.0,362.0,358.0,362.0,340.338684,15414
2015-09-18,361.5,362.0,356.5,359.0,337.518219,55521
2015-09-21,359.0,365.0,355.0,364.0,342.219025,12017
2015-09-22,361.0,364.0,355.0,357.5,336.107971,16088
2015-09-23,358.0,360.5,353.0,359.0,337.518219,18268
2015-09-24,357.0,357.5,341.5,342.0,321.535461,35836
2015-09-25,345.0,353.0,340.5,342.5,322.00552400000004,21328
2015-09-28,342.0,349.5,336.5,338.0,317.774811,12857
2015-09-29,334.5,335.0,323.0,327.5,307.903076,52813
2015-09-30,339.5,344.0,328.0,343.5,322.945679,21741
2015-10-01,344.0,353.0,333.0,340.0,319.655121,41999
2015-10-02,339.5,349.5,339.5,346.0,325.296112,16367
2015-10-05,350.0,357.0,349.5,351.5,330.46701,12464
2015-10-06,352.0,354.5,345.0,348.0,327.176422,47920
