Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,,,,,,
2015-01-05,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-26,,,,,,
2015-01-27,,,,,,
2015-01-28,119.099998,121.0,118.599998,119.900002,119.900002,314469.0
2015-01-29,119.099998,119.800003,118.199997,119.099998,119.099998,236369.0
2015-01-30,119.099998,121.300003,119.099998,119.900002,119.900002,439648.0
2015-02-02,119.300003,122.400002,119.099998,122.400002,122.400002,535575.0
2015-02-03,122.400002,123.900002,122.400002,123.400002,123.400002,203307.0
2015-02-04,123.800003,123.800003,121.099998,123.0,123.0,277531.0
2015-02-05,122.400002,125.800003,121.699997,125.800003,125.800003,213869.0
2015-02-06,124.800003,126.400002,124.5,125.0,125.0,172221.0
2015-02-09,124.5,124.5,120.800003,123.199997,123.199997,232430.0
2015-02-10,122.800003,124.800003,121.900002,124.5,124.5,170020.0
2015-02-11,124.5,125.099998,124.099998,125.099998,125.099998,159781.0
2015-02-12,124.900002,131.800003,124.900002,131.800003,131.800003,293475.0
2015-02-13,132.199997,135.899994,131.699997,132.199997,132.199997,255020.0
2015-02-16,132.100006,132.899994,130.300003,132.0,132.0,149963.0
2015-02-17,132.100006,132.899994,130.0,130.699997,130.699997,314624.0
2015-02-18,,,,,,
2015-02-19,139.399994,141.5,137.100006,140.699997,140.699997,383240.0
2015-02-20,140.5,141.300003,140.199997,141.0,141.0,294615.0
2015-02-23,,,,,,
2015-02-24,146.199997,147.5,144.0,144.199997,144.199997,217996.0
2015-02-25,144.199997,148.0,144.0,146.399994,146.399994,232743.0
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-03-02,,,,,,
2015-03-03,148.0,149.699997,145.5,145.5,145.5,302144.0
2015-03-04,145.300003,145.699997,138.199997,142.0,142.0,544134.0
2015-03-05,141.899994,145.100006,141.800003,142.899994,142.899994,292373.0
2015-03-06,142.399994,144.0,137.800003,138.0,138.0,312188.0
2015-03-09,,,,,,
2015-03-10,,,,,,
2015-03-11,129.0,136.100006,128.0,134.300003,134.300003,757332.0
2015-03-12,,,,,,
2015-03-13,133.800003,134.399994,132.5,134.199997,134.199997,270513.0
2015-03-16,133.699997,136.399994,133.699997,135.5,135.5,150548.0
2015-03-17,,,,,,
2015-03-18,133.300003,138.100006,130.5,135.600006,135.600006,584144.0
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-23,,,,,,
2015-03-24,,,,,,
2015-03-25,,,,,,
2015-03-26,,,,,,
2015-03-27,,,,,,
2015-03-30,,,,,,
2015-03-31,,,,,,
2015-04-01,,,,,,
2015-04-02,,,,,,
2015-04-07,146.0,151.600006,146.0,149.5,149.5,327350.0
2015-04-08,,,,,,
2015-04-09,151.0,157.899994,150.899994,156.199997,156.199997,332041.0
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-14,,,,,,
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-15,139.699997,149.5,139.699997,148.5,148.5,320397.0
2015-05-18,148.5,151.0,146.0,148.300003,148.300003,188231.0
2015-05-19,148.600006,151.800003,148.100006,151.800003,151.800003,232005.0
2015-05-20,152.0,152.0,149.100006,150.300003,150.300003,164652.0
