Date,Open,High,Low,Close,Adj Close,Volume
2015-10-16,42.599998,44.0,42.5,43.0,43.0,20335564.0
2015-10-19,,,,,,
2015-10-20,,,,,,
2015-10-21,43.900002,44.900002,43.799999,44.0,44.0,950612.0
2015-10-22,,,,,,
2015-10-23,45.299999,45.299999,44.299999,44.799999,44.799999,993149.0
2015-10-26,45.200001,45.5,45.0,45.5,45.5,236159.0
2015-10-27,45.400002,46.099998,45.099998,45.200001,45.200001,214852.0
2015-10-28,46.200001,46.200001,44.0,44.799999,44.799999,204864.0
2015-10-29,45.0,45.299999,44.0,44.0,44.0,885343.0
2015-10-30,,,,,,
2015-11-02,,,,,,
2015-11-03,,,,,,
2015-11-04,46.5,48.0,45.799999,47.599998,47.599998,232896.0
2015-11-05,48.5,49.299999,47.700001,48.5,48.5,547370.0
2015-11-06,49.0,49.200001,46.200001,47.700001,47.700001,600825.0
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-11,,,,,,
2015-11-12,48.799999,49.299999,48.599998,48.599998,48.599998,209260.0
2015-11-13,48.799999,49.0,48.400002,48.5,48.5,214624.0
2015-11-16,,,,,,
2015-11-17,49.0,49.0,48.0,48.5,48.5,311152.0
2015-11-18,48.5,48.799999,47.799999,48.099998,48.099998,230964.0
2015-11-19,48.200001,48.5,47.700001,47.799999,47.799999,157296.0
2015-11-20,,,,,,
2015-11-23,47.799999,48.0,47.299999,48.0,48.0,399301.0
2015-11-24,,,,,,
2015-11-25,,,,,,
2015-11-26,,,,,,
2015-11-27,,,,,,
2015-11-30,,,,,,
2015-12-01,,,,,,
2015-12-02,,,,,,
2015-12-03,,,,,,
2015-12-04,,,,,,
2015-12-07,,,,,,
2015-12-08,,,,,,
2015-12-09,,,,,,
2015-12-10,52.5,52.5,50.5,51.75,51.75,225264.0
2015-12-11,,,,,,
2015-12-14,,,,,,
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-18,,,,,,
2015-12-21,56.25,56.25,54.0,55.0,55.0,173840.0
2015-12-22,,,,,,
2015-12-23,,,,,,
2015-12-28,54.5,55.0,54.0,54.5,54.5,107610.0
2015-12-29,55.5,56.75,55.0,55.0,55.0,167393.0
2015-12-30,56.0,56.0,55.0,55.5,55.5,89075.0
2016-01-04,55.5,55.5,55.5,55.5,55.5,0.0
