Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,233.19999700000002,237.80000299999998,233.19999700000002,237.69999700000002,219.086853,70
2015-01-05,237.69999700000002,237.69999700000002,233.80000299999998,233.80000299999998,215.492233,250
2015-01-07,233.80000299999998,233.80000299999998,229.19999700000002,230.0,211.98980699999998,405
2015-01-08,230.19999700000002,241.5,230.19999700000002,241.0,222.128433,381
2015-01-09,241.19999700000002,241.19999700000002,235.5,236.899994,218.349487,869
2015-01-12,245.0,245.0,231.899994,235.899994,217.42777999999998,596
2015-01-13,230.30000299999998,236.5,230.30000299999998,234.69999700000002,216.321762,481
2015-01-14,238.80000299999998,238.80000299999998,222.0,229.19999700000002,211.252441,3533
2015-01-15,218.19999700000002,229.600006,218.19999700000002,229.5,211.528931,1117
2015-01-16,223.0,223.100006,215.69999700000002,223.0,205.537933,3019
2015-01-19,226.0,232.69999700000002,226.0,231.899994,213.74102799999997,429
2015-01-20,231.0,237.5,231.0,232.0,213.83319100000003,1694
2015-01-21,231.0,232.0,227.80000299999998,228.5,210.60723900000002,1213
2015-01-22,228.5,230.0,224.100006,230.0,211.98980699999998,1926
2015-01-23,230.0,232.5,228.0,230.0,211.98980699999998,706
2015-01-26,230.0,235.0,224.19999700000002,235.0,216.598267,562
2015-01-27,233.0,233.600006,228.0,231.80000299999998,213.648834,1003
2015-01-28,235.600006,257.799988,235.600006,257.0,236.875565,7664
2015-01-29,255.19999700000002,256.0,252.30000299999998,255.899994,235.861694,623
2015-01-30,260.0,267.399994,258.5,265.5,244.709961,874
2015-02-02,264.299988,264.299988,258.0,261.200012,240.746689,1097
2015-02-03,265.799988,268.899994,264.200012,266.600006,245.72383100000002,2298
2015-02-04,269.5,270.799988,266.0,270.799988,249.59493999999998,1436
2015-02-05,270.799988,271.399994,266.799988,270.0,248.85759,773
2015-02-06,275.0,275.0,270.0,273.899994,252.452194,567
2015-02-09,273.200012,273.899994,268.0,273.899994,252.452194,488
2015-02-10,270.5,277.600006,270.5,277.200012,255.49382000000003,1741
2015-02-11,274.0,282.5,274.0,282.200012,260.102234,281
2015-02-12,282.200012,288.399994,281.200012,288.0,265.44809,6604
2015-02-13,290.0,290.0,286.600006,288.0,265.44809,198
2015-02-16,290.0,290.0,283.600006,288.700012,266.093292,311
2015-02-17,288.5,290.399994,280.899994,284.799988,262.498627,382
2015-02-18,279.0,286.799988,279.0,284.5,262.222168,515
2015-02-19,288.5,288.5,280.799988,284.899994,262.59082,693
2015-02-20,281.0,285.299988,280.0,282.100006,260.01010099999996,185
2015-02-23,281.600006,285.0,276.0,280.0,258.074524,1105
2015-02-24,280.0,282.700012,280.0,281.5,259.457062,677
2015-02-25,276.0,283.700012,276.0,283.5,261.300446,759
2015-02-26,283.0,283.0,283.0,283.0,260.83963,29
2015-02-27,282.700012,282.700012,275.399994,279.5,257.613647,543
2015-03-02,276.5,282.799988,276.100006,278.200012,256.41546600000004,948
2015-03-03,277.899994,279.299988,274.600006,277.0,255.309448,481
2015-03-04,275.0,279.0,267.399994,279.0,257.15286299999997,714
2015-03-05,281.0,281.0,276.0,278.100006,256.32330299999995,1163
2015-03-06,275.0,278.0,271.700012,274.0,252.544342,452
2015-03-09,265.799988,274.0,265.799988,274.0,252.544342,203
2015-03-10,274.0,274.0,269.399994,273.399994,251.991348,126
2015-03-11,269.399994,273.799988,265.200012,273.0,251.62265,282
2015-03-12,277.0,277.0,277.0,277.0,255.309448,5
2015-03-13,274.399994,274.399994,265.0,268.0,247.014206,1367
2015-03-16,268.0,269.0,263.0,269.0,247.93588300000002,454
2015-03-17,269.899994,271.5,261.100006,263.0,242.405716,367
2015-03-18,269.0,274.799988,268.0,274.0,252.544342,449
2015-03-19,275.0,275.0,268.0,272.600006,251.253998,427
2015-03-20,264.5,266.700012,259.100006,262.0,241.48402400000003,3690
2015-03-23,264.0,264.0,254.19999700000002,259.0,238.718948,911
2015-03-24,258.0,262.5,258.0,262.5,241.94487,710
2015-03-25,262.5,262.5,259.899994,259.899994,239.548477,320
2015-03-26,258.0,258.0,252.19999700000002,252.19999700000002,232.45141600000002,120
2015-03-27,254.5,254.5,252.0,252.0,238.41169700000003,178
2015-03-30,251.100006,256.0,251.100006,256.0,242.19601400000002,215
2015-03-31,255.0,257.5,252.0,254.80000299999998,241.06072999999998,554
2015-04-01,260.0,260.0,255.899994,256.600006,242.763672,799
2015-04-02,259.600006,259.600006,259.600006,259.600006,245.601913,50
2015-04-07,259.600006,259.600006,253.100006,258.899994,244.939621,434
2015-04-08,259.0,259.0,237.5,244.0,230.84307900000002,2469
2015-04-09,244.0,244.0,235.0,239.0,226.112686,2765
2015-04-10,237.0,239.30000299999998,234.69999700000002,239.19999700000002,226.30191000000002,2878
2015-04-13,238.69999700000002,239.30000299999998,236.100006,238.0,225.166611,1228
2015-04-14,237.0,237.5,235.0,237.5,224.693573,856
2015-04-15,237.5,237.5,237.399994,237.5,224.693573,702
2015-04-16,234.0,242.100006,234.0,242.0,228.95092799999998,999
2015-04-17,234.19999700000002,240.19999700000002,233.5,235.399994,222.706802,599
2015-04-20,235.0,238.80000299999998,231.80000299999998,238.0,225.166611,699
2015-04-21,237.399994,238.0,237.399994,238.0,225.166611,144
2015-04-22,246.399994,246.399994,237.5,246.0,232.735229,1506
2015-04-23,238.19999700000002,244.5,238.19999700000002,242.69999700000002,229.61317400000001,176
2015-04-24,255.0,269.600006,255.0,268.600006,254.116577,2480
2015-04-27,265.700012,268.700012,261.899994,268.700012,254.21121200000002,2617
2015-04-28,267.0,267.0,260.0,263.0,248.818558,1035
2015-04-29,267.0,269.0,263.600006,264.5,250.237686,1216
2015-04-30,264.600006,264.600006,255.80000299999998,256.600006,242.763672,1239
2015-05-04,256.600006,259.899994,253.0,259.899994,245.885712,975
2015-05-05,255.5,259.5,251.899994,254.30000299999998,240.587692,1431
2015-05-06,254.30000299999998,254.30000299999998,254.30000299999998,254.30000299999998,240.587692,0
2015-05-07,240.100006,251.80000299999998,240.0,250.0,236.51954700000002,266
2015-05-08,252.0,253.80000299999998,245.899994,253.0,239.357788,568
2015-05-11,253.0,257.5,253.0,257.399994,243.520523,360
2015-05-12,255.80000299999998,255.80000299999998,246.100006,250.69999700000002,237.18180800000002,1030
2015-05-13,255.80000299999998,259.0,255.80000299999998,258.0,244.088181,654
2015-05-15,258.0,264.0,257.5,263.0,248.818558,551
2015-05-18,265.600006,265.600006,258.200012,263.200012,249.007797,813
2015-05-19,264.200012,265.600006,262.5,262.5,248.34552000000002,132
2015-05-20,265.0,269.0,261.700012,266.899994,252.50827,551
2015-05-21,266.0,270.799988,266.0,270.799988,256.197968,327
2015-05-22,269.600006,269.600006,264.5,266.100006,251.751434,172
2015-05-25,266.0,271.299988,266.0,270.200012,255.630325,640
2015-05-26,270.200012,270.200012,270.200012,270.200012,255.630325,22
2015-05-27,270.200012,270.200012,270.200012,270.200012,255.630325,0
2015-05-28,261.0,266.5,261.0,265.799988,251.46756000000002,3591
2015-05-29,270.399994,270.399994,266.0,266.0,251.65679900000003,59
2015-06-01,261.5,262.600006,261.5,262.0,247.872482,411
2015-06-02,266.5,266.5,266.5,266.5,252.129852,15
2015-06-03,268.700012,268.700012,261.399994,266.399994,252.035233,61
2015-06-04,258.5,262.299988,258.5,262.299988,248.156296,125
2015-06-05,255.19999700000002,258.799988,255.0,257.700012,243.80436699999998,727
2015-06-08,258.5,260.399994,258.0,260.399994,246.35874900000002,95
2015-06-09,257.700012,257.700012,252.899994,252.899994,239.263184,652
2015-06-10,262.100006,262.100006,256.0,258.399994,244.46659900000003,178
2015-06-11,266.0,267.200012,261.5,267.200012,252.79209900000004,547
2015-06-12,265.5,265.899994,262.100006,262.100006,247.967102,1140
2015-06-15,262.100006,263.799988,259.200012,263.0,248.818558,763
2015-06-16,260.0,268.0,256.200012,268.0,253.54895,405
2015-06-17,267.0,267.0,267.0,267.0,252.602859,110
2015-06-18,263.799988,264.0,259.100006,264.0,249.764633,260
2015-06-22,264.0,273.200012,264.0,273.200012,258.468567,1804
2015-06-23,280.399994,280.5,275.700012,275.700012,260.833801,206
2015-06-24,275.200012,275.200012,266.0,272.100006,257.427917,741
2015-06-25,278.700012,278.700012,265.0,268.600006,254.116577,585
2015-06-26,275.0,275.0,268.0,273.299988,258.563171,182
2015-06-29,270.0,270.0,259.299988,266.0,251.65679900000003,850
2015-06-30,258.0,260.899994,258.0,260.899994,246.83178700000002,423
2015-07-01,265.399994,265.399994,265.399994,265.399994,251.08914199999998,117
2015-07-02,259.0,259.0,236.0,236.0,223.27444500000001,1514
2015-07-03,240.0,240.0,236.0,239.100006,226.20730600000002,1124
2015-07-06,237.399994,239.0,235.0,237.399994,224.59895299999997,780
2015-07-07,240.399994,241.30000299999998,240.0,240.80000299999998,227.81562799999998,5208
