Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,6.94,7.18,6.9,7.1,7.1,1433215
2015-01-05,7.2,7.22,6.98,7.0,7.0,1318585
2015-01-07,7.0,7.14,6.88,6.9,6.9,1441620
2015-01-08,6.92,6.92,6.68,6.72,6.72,1751735
2015-01-09,6.66,6.66,6.54,6.6,6.6,1449415
2015-01-12,6.58,6.58,6.3,6.42,6.42,2190070
2015-01-13,6.4,6.94,6.34,6.52,6.52,2642880
2015-01-14,6.52,6.52,6.26,6.28,6.28,1450745
2015-01-15,6.28,6.4,6.02,6.08,6.08,2040385
2015-01-16,6.1,6.48,5.9,6.1,6.1,4139270
2015-01-19,6.3,6.3,5.84,6.0,6.0,2830265
2015-01-20,6.0,6.04,5.76,5.76,5.76,3929340
2015-01-21,5.76,6.02,5.64,6.0,6.0,3524995
2015-01-22,6.1,6.16,5.88,5.96,5.96,2530290
2015-01-23,5.96,6.22,5.86,5.92,5.92,3980365
2015-01-26,5.84,6.14,5.8,6.04,6.04,2468170
2015-01-27,6.04,6.44,6.04,6.36,6.36,2781475
2015-01-28,6.46,6.92,6.4,6.78,6.78,5120580
2015-01-29,6.8,6.84,6.46,6.5,6.5,1749780
2015-01-30,6.56,6.66,6.22,6.32,6.32,2082850
2015-02-02,6.36,6.64,6.16,6.3,6.3,2643540
2015-02-03,6.3,6.32,6.18,6.3,6.3,1210230
2015-02-04,6.28,6.42,6.28,6.34,6.34,972745
2015-02-05,6.36,6.44,6.26,6.44,6.44,1096035
2015-02-06,6.44,6.5,6.38,6.44,6.44,634545
2015-02-09,6.48,6.6,6.38,6.58,6.58,1491945
2015-02-10,6.58,6.9,6.52,6.9,6.9,2634705
2015-02-11,6.92,6.92,6.56,6.64,6.64,1987115
2015-02-12,6.56,6.78,6.48,6.66,6.66,1534275
2015-02-13,6.62,6.78,6.62,6.7,6.7,938855
2015-02-16,6.72,7.3,6.72,7.1,7.1,5474075
2015-02-17,7.16,7.82,7.02,7.66,7.66,10150900
2015-02-18,7.7,7.86,7.34,7.68,7.68,4700405
2015-02-19,7.66,7.82,7.52,7.68,7.68,1724140
2015-02-20,7.66,7.7,7.52,7.68,7.68,1190315
2015-02-23,7.64,7.96,7.64,7.92,7.92,2795600
2015-02-24,7.96,8.3,7.84,8.3,8.3,5062705
2015-02-25,8.28,8.4,7.76,7.86,7.86,6085255
2015-02-26,7.32,9.98,7.08,9.8,9.8,25456470
2015-02-27,9.8,11.0,9.44,10.0,10.0,21588860
2015-03-02,9.4,10.6,7.74,7.92,7.92,33200460
2015-03-03,8.12,8.34,7.8,7.86,7.86,15523990
2015-03-04,7.82,7.96,7.08,7.6,7.6,13408945
2015-03-05,7.64,7.78,7.44,7.64,7.64,2441340
2015-03-06,7.66,7.98,7.5,7.78,7.78,3428855
2015-03-09,7.84,7.84,7.66,7.7,7.7,1239045
2015-03-10,7.68,8.08,7.66,7.86,7.86,2486090
2015-03-11,7.94,8.18,7.94,8.18,8.18,2542220
2015-03-12,8.26,8.4,8.2,8.32,8.32,2505795
2015-03-13,8.38,9.08,8.3,8.78,8.78,7730760
2015-03-16,8.72,8.72,8.42,8.54,8.54,2616300
2015-03-17,8.44,8.52,8.28,8.32,8.32,2139300
2015-03-18,8.32,8.52,8.32,8.42,8.42,1336915
2015-03-19,9.2,9.36,8.76,9.06,9.06,6259360
